year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,5,5,0.86,0.519,1.038,1.421,1.132,0.802,0.651,0.125,1.861,1.982,1.358,1.535,1.235,0.486,0.665,0.342,0.56
1988,5,6,0.734,0.495,0.825,0.777,0.337,0.018,-0.069,-0.35,0.223,0.106,-0.566,-0.246,0.37,0.192,0.335,0.326,0.501
1988,5,7,1.089,0.51,0.769,0.206,0.08,-0.476,-0.421,-0.406,0.41,0.55,0.492,0.704,0.726,0.179,0.259,0.151,0.018
1988,5,8,0.294,0.179,0.152,-0.088,0.308,-0.065,-0.103,-0.588,-0.134,-0.334,-0.479,-0.192,-0.044,-0.258,-0.244,-0.167,-0.316
1988,5,9,0.541,0.471,0.279,0.084,0.397,0.279,0.155,-0.497,-0.712,-1.591,-1.826,-1.54,-1.231,-1.086,-0.849,-0.466,-0.69
1988,5,10,0.29,0.295,0.176,0.069,0.512,0.439,0.373,0.173,0.423,0.312,-0.084,-0.116,-0.229,-0.47,-0.288,-0.083,-0.372
1988,5,11,0.363,0.323,0.333,0.243,0.404,0.289,0.106,-0.035,0.513,0.588,0.276,0.408,0.289,-0.143,-0.109,0.025,-0.051
1988,5,12,0.976,0.631,0.499,0.553,0.536,0.061,0.118,-0.22,-0.388,-0.421,-0.867,-0.393,-0.2,-0.433,-0.266,-0.241,-0.074
1988,5,13,1.289,0.89,0.962,1.471,2.449,2.196,0.913,0.509,0.35,0.353,0.045,-0.269,-0.253,-0.626,-0.562,-0.581,-0.68
1988,5,14,0.395,0.346,0.523,1.034,1.832,1.881,1.061,0.976,1.309,0.769,0.3,0.344,0.474,-0.07,-0.009,0.071,-0.079
1988,5,15,-0.097,0.125,0.218,0.057,0.629,0.679,0.699,0.481,0.976,0.857,0.427,0.45,0.326,-0.211,-0.035,0.047,-0.04
1988,5,16,0.03,0.152,0.431,0.144,0.287,0.082,0.753,0.194,0.302,0.199,-0.362,-0.395,-0.299,-0.707,-0.468,-0.256,-0.419
1988,5,17,0.772,0.681,0.725,1.463,2.517,2.272,2.067,1.666,2.057,1.378,0.667,0.409,0.716,0.368,0.54,0.322,0.277
1988,5,18,0.538,0.451,0.663,1.463,2.343,2.638,2.253,1.58,2.205,1.335,0.871,1.004,1.267,0.812,0.822,0.533,0.516
1988,5,19,-0.054,-0.022,0.16,0.209,0.383,0.487,1.055,0.848,2.652,2.24,2.055,1.908,1.332,0.556,0.591,0.308,0.23
1988,5,20,-0.159,-0.09,-0.024,-0.102,-0.048,-0.297,1.198,0.486,1.398,1.425,1.332,1.498,1.536,0.754,0.983,0.674,0.702
1988,5,21,0.122,0.046,0.102,0.028,-0.028,-0.577,0.924,0.168,0.439,0.496,0.256,0.017,0.6,0.158,0.471,0.314,0.506
1988,5,22,0.223,0.209,0.415,0.836,1.343,1.093,2.233,2.086,3.462,3.559,2.901,1.964,1.824,0.696,0.641,0.391,0.232
1988,5,23,0.206,0.273,0.432,1.078,2.203,2.759,3.25,3.565,5.862,5.141,4.416,3.731,2.954,1.099,0.997,0.524,0.422
1988,5,24,0.176,0.161,0.388,0.824,1.207,1.084,0.757,0.203,1.253,0.327,0.03,-0.182,0.043,-0.466,-0.171,-0.159,-0.046
1988,5,25,0.56,0.517,0.678,1.141,1.359,0.681,0.358,0.027,0.958,0.261,-0.104,0.353,0.521,-0.183,-0.197,-0.331,-0.426
1988,5,26,0.645,0.609,0.721,1.252,1.528,0.847,-0.17,-0.47,0.148,0.16,-0.005,0.033,-0.196,-0.91,-0.811,-0.669,-0.817
1988,5,27,1.068,0.736,0.829,1.345,1.305,0.51,0.265,0.083,0.527,0.442,-0.075,-0.677,-1.157,-1.417,-1.531,-0.965,-0.965
1988,5,28,0.786,0.661,0.274,0.296,0.151,-0.58,0.126,0.248,0.487,0.519,-0.074,0.12,-0.093,-0.45,-0.241,-0.074,-0.076
1988,5,29,1.17,1.069,1.334,2.607,2.073,0.897,1.161,1.183,1.751,1.498,0.572,0.806,0.59,-0.101,0.086,0.173,-0.069
1988,5,30,1.402,1.522,2.056,2.013,2.166,1.194,0.991,0.824,1.041,0.759,0.111,0.325,0.031,-0.503,-0.47,-0.264,-0.495
1988,5,31,0.243,0.329,0.13,0.286,1.122,-0.273,-0.052,-0.276,0.342,0.107,-0.401,-0.121,-0.395,-0.677,-0.492,-0.22,-0.326
1988,6,1,0.213,0.266,0.437,0.024,0.421,-0.386,0.145,-0.341,0.174,0.371,-0.021,0.337,-0.053,-0.42,-0.621,-0.368,-0.614
1988,6,2,0.203,0.355,0.83,0.694,1.171,0.25,0.455,0.14,0.178,-0.449,-1.714,-1.721,-2.151,-2.241,-2.162,-1.285,-1.43
1988,6,3,0.186,0.614,0.798,0.921,1.621,1.135,0.866,0.55,1.077,0.462,-0.205,0.053,0.101,-0.169,-0.197,0.149,-0.8
1988,6,4,0.695,0.69,0.776,0.977,1.378,1.007,0.401,-0.029,0.567,0.06,-0.221,0.252,0.333,0.17,0.543,0.614,0.452
1988,6,5,1.066,0.851,0.928,0.954,0.642,1.008,0.816,1.132,2.062,1.859,1.447,1.748,1.571,0.888,1.277,0.955,0.704
1988,6,6,0.304,0.3,0.419,0.021,-0.435,0.111,0.167,0.043,0.61,0.608,0.874,1.183,1.174,0.431,0.55,0.346,0.386
1988,6,7,0.683,0.712,0.523,0.007,-0.197,0.136,-0.083,-0.297,-0.179,-0.278,-0.281,0.2,0.325,0.024,0.127,0.007,-0.022
1988,6,8,0.898,1.023,0.927,0.61,0.485,0.711,0.022,-0.153,-0.517,-0.71,-0.8,-0.355,-0.177,-0.246,-0.068,-0.062,-0.209
1988,6,9,0.492,0.686,0.574,0.601,0.764,0.865,0.026,0.293,0.442,0.431,0.319,0.424,0.625,0.301,0.496,0.367,0.256
1988,6,10,0.343,0.634,0.7,0.539,0.851,1.201,0.724,1.087,1.811,1.437,1.073,1.109,1.027,0.429,0.598,0.347,0.292
1988,6,11,0.644,0.745,0.603,0.625,0.723,0.757,0.367,0.521,1.369,1.158,0.513,0.846,1.082,0.674,1.025,0.583,0.387
1988,6,12,0.324,0.564,0.698,0.693,1.437,1.015,0.669,1.025,1.967,1.429,1.1,1.528,1.464,0.866,1.016,0.564,0.526
1988,6,13,0.187,0.201,0.574,0.43,0.754,0.434,0.493,0.909,1.773,1.735,1.073,1.497,1.673,1.092,1.399,0.704,0.563
1988,6,14,-0.201,-0.093,0.347,0.08,0.211,-0.06,0.054,0.427,1.138,1.721,1.16,1.245,1.564,0.761,1.069,0.705,0.704
1988,6,15,-0.214,-0.071,0.241,-0.209,-0.207,-0.296,-0.317,0.343,1.1,1.09,0.514,0.252,0.626,-0.022,0.364,0.058,0.006
1988,6,16,0.066,0.102,0.349,-0.009,-0.119,0.136,-0.211,0.653,1.155,0.814,-0.055,-0.126,0.085,-0.352,0.094,-0.07,-0.267
1988,6,17,0.13,0.238,0.369,0.384,0.498,1.189,0.515,1.406,2.278,1.587,0.545,0.508,0.215,-0.012,0.174,-0.131,-0.106
1988,6,18,0.05,0.141,0.106,0.155,0.32,1.105,0.547,1.448,2.407,1.803,1.201,1.305,0.887,0.528,0.706,0.312,0.198
1988,6,19,-0.006,0.192,-0,-0.026,0.194,0.517,0.217,0.944,2.378,2.25,1.582,1.684,0.926,0.26,0.586,0.373,0.256
